t,totShort_c1,objt1          ,0,187425
t2          ,4,187425,,
t3          ,8,187425,,
t4          ,12,185592,,
t5          ,16,185487,,
t6          ,20,185355,,
t7          ,24,185214,,
t8          ,28,185127,,
t9          ,32,184977,,
t10         ,36,184908,,
t11         ,40,184848,,
t12         ,44,184794,,
t13         ,48,184749,,
t14         ,52,184707,,
t15         ,56,184680,,
t16         ,60,184662,,
t17         ,64,184635,,
t18         ,68,184617,,
t19         ,72,184599,,
t20         ,76,184572,,
t21         ,80,184545,,
